Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Menneskelige udledninger,Hvilken del af kulstofkredsløbet optager en betydelig del af menneskets CO₂-udledninger?,300,havet,Jordens indre kerne,Månen,stratosfærens ozonlag,,,
Menneskelige udledninger,Hvad er forskellen på udledning og koncentration af en drivhusgas?,400,"udledning er tilførsel pr. tid, mens koncentration er mængden i atmosfæren","udledning måles kun i grader, koncentration kun i meter",de to ord betyder præcis det samme,koncentration gælder kun væsker,,,
Menneskelige udledninger,Hvorfor er samlede historiske CO₂-udledninger vigtige for den globale opvarmning?,500,"CO₂ ophobes, og opvarmningen afhænger i høj grad af de kumulative udledninger",CO₂ forsvinder altid efter ét døgn,kun sidste års udledning påvirker klimaet,historiske udledninger ændrer kun vejret lokalt,,,
Menneskelige udledninger,Hvordan adskiller metan sig generelt fra kuldioxid i atmosfæren?,600,"metan er mere kortlivet, men har stærk opvarmningseffekt pr. masse",metan er ikke en drivhusgas,metan bliver i atmosfæren for evigt,metan kan kun findes under havet,,,
Menneskelige udledninger,Hvad kendetegner lattergas som drivhusgas?,700,den er langlivet og har høj opvarmningseffekt pr. masse,den nedbrydes på få sekunder,den køler altid atmosfæren,den består af kulstof og brint,,,
Menneskelige udledninger,Hvilken menneskelig aktivitet kan både frigive kulstof fra jord og reducere et naturligt kulstoflager?,800,dræning af tørvemoser,opsætning af vindmøller,genbrug af aluminium,isolering af bygninger,,,
Følger og risici,Hvad er en geografisk forskydning af arters udbredelse?,100,at arter flytter deres leveområde mod nye breddegrader eller højder,at alle arter skifter navn,at kontinenter flytter hurtigere,at dyr kun ændrer farve,,,
Følger og risici,Hvad er et eksempel på ændret fænologi?,200,tidligere blomstring eller yngletid på grund af ændrede årstider,en ny klassifikation af mineraler,ændret kortprojektion,en ændring i Jordens diameter,,,
Følger og risici,Hvad er en sammensat klimahændelse?,300,"flere forhold eller ekstremer, der optræder sammen og forstærker virkningen",en enkelt regnbyge,et gennemsnit af 30 års vejr,en matematisk enhed uden fysiske følger,,,
Følger og risici,Hvad menes med et vippepunkt i klimasystemet?,400,"en tærskel, hvor en lille ekstra ændring kan udløse en stor og muligvis selvforstærkende omstilling","det tidspunkt, hvor dag bliver til nat",en tilfældig fejl i et termometer,en fast dato for klimatopmøder,,,
Følger og risici,Hvad er en tilpasningsgrænse?,500,"et punkt, hvor tilpasning ikke længere kan forhindre uacceptable risici",den højeste skat på brændstof,en landegrænse i en klimazone,en grænse for satellitters højde,,,
Følger og risici,Hvad dækker udtrykket tab og skader i klimaarbejdet over?,600,"negative følger, som ikke undgås gennem reduktion eller tilpasning",udgifter til alle vejrudsigter,kun skader på vindmøller,tab af måleinstrumenter i laboratorier,,,
Følger og risici,Hvordan kan klimaforandringer true fødevaresikkerhed?,700,"ved at påvirke produktion, adgang, stabilitet og kvalitet af fødevarer",ved at gøre alle afgrøder identiske,ved at fjerne behovet for transport,ved altid at øge fiskebestande,,,
Løsninger og aftaler,Hvad er Paris-aftalens langsigtede temperaturmål?,100,"at holde opvarmningen godt under 2 °C og tilstræbe at begrænse den til 1,5 °C",at holde opvarmningen under 5 °C uden yderligere mål,at fastsætte samme temperatur i alle lande,at standse naturlige klimavariationer,,,
Løsninger og aftaler,Hvad betyder COP i FN’s klimaforhandlinger?,200,"Conference of the Parties, parternes konference",Council of Polar Regions,Carbon Offset Programme,Committee on Ocean Pressure,,,
Løsninger og aftaler,"I hvilket år blev FN’s klimakonvention, UNFCCC, vedtaget?",300,1992,1972,2005,2015,,,
Løsninger og aftaler,Hvad er en NDC under Paris-aftalen?,400,et lands nationalt fastsatte klimabidrag,en global vejrmåler,en fælles valuta til energihandel,en liste over truede arter,,,
Løsninger og aftaler,Hvad var Kyoto-protokollens centrale nyhed?,500,bindende udledningsmål for en gruppe industrialiserede lande,et globalt forbud mod al luftfart,oprettelsen af IPCC,en aftale om havets fiskekvoter,,,
Løsninger og aftaler,Hvad er direkte luftopsamling af CO₂?,600,"teknologi, der fjerner kuldioxid direkte fra omgivende luft","et filter, der kun fjerner støv fra skorstene",en metode til at måle vindhastighed,"en proces, der laver ilt om til metan",,,
Løsninger og aftaler,Hvad sigter Kigali-ændringen til Montreal-protokollen mod?,700,gradvis nedtrapning af HFC-gasser,udfasning af kuldioxid fra naturlig respiration,forbud mod alle køleskabe,genopretning af tropiske skove alene,,,
